 ! Model parameters: Teff:
    2411.000
 !
 ! Number of atmosphere layers:
  53

#Layer,Longitude,Latitude,P(bar),T(K),U(m/s),V(m/s),W(Pa/s),W(m/s)

9,-45,0,3.8956e-05,3040.3,-470.62,49.19,-0.0013246,20.209
10,-45,0,5.5146e-05,3073.8,-261.07,40.927,-0.0019595,21.351
11,-45,0,7.8066e-05,3114.9,-49.153,36.322,-0.0028674,22.366
12,-45,0,0.00011051,3157.3,185.75,26.461,-0.0041569,23.216
13,-45,0,0.00015644,3208,435.35,20.893,-0.0059793,23.969
14,-45,0,0.00022146,3260.9,697.94,12.695,-0.0085345,24.566
15,-45,0,0.0003135,3307.7,980.53,6.2281,-0.012094,24.945
16,-45,0,0.00044379,3351.8,1260,-2.2619,-0.017033,25.149
17,-45,0,0.00062823,3392.2,1559.1,-10.817,-0.023793,25.114
18,-45,0,0.00088933,3429.1,1854.8,-20.756,-0.032966,24.848
19,-45,0,0.0012589,3460.9,2149.4,-31.433,-0.04529,24.34
20,-45,0,0.0017822,3489.5,2440,-43.038,-0.061726,23.627
21,-45,0,0.0025229,3512.7,2728.5,-55.072,-0.08354,22.738
22,-45,0,0.0035714,3522.6,3032.4,-65.254,-0.11226,21.645
23,-45,0,0.0050557,3520.7,3375,-79.529,-0.14825,20.182
24,-45,0,0.0071569,3510.1,3720.5,-104.6,-0.19079,18.293
25,-45,0,0.010131,3472.9,4099,-125.21,-0.23891,16.009
26,-45,0,0.014342,3384.3,4528,-129.27,-0.28275,13.043
27,-45,0,0.020303,3263.1,4986.6,-144.06,-0.31944,10.036
28,-45,0,0.028741,3184.8,5669,-123.43,-0.32151,6.9646
29,-45,0,0.040686,3124.1,6405.2,-132.81,-0.27113,4.0699
30,-45,0,0.057595,3051,7204.3,-128.72,-0.12394,1.2835
31,-45,0,0.081532,2966.7,7856.6,-120.88,0.15893,-1.1305
32,-45,0,0.11542,2885.5,8316.1,-106.88,0.59834,-2.9243
33,-45,0,0.16339,2807.3,8658.7,-97.837,1.1863,-3.9847
34,-45,0,0.23129,2728.6,8888.9,-84.782,1.8785,-4.3321
